ANO,MES,Municipio_de_SP
2012,nov.-12,18489.0
2012,out.-12,20957.0
2012,mai.-12,18023.0
2012,jan.-12,14033.0
2012,abr.-12,17316.0
2012,set.-12,20027.0
2012,fev.-12,15356.0
2012,mar.-12,18224.0
2012,jul.-12,19867.0
2012,ago.-12,18501.0
2012,jun.-12,19437.0
2012,dez.-12,18560.0
2013,mai.-13,17274.0
2013,dez.-13,16535.0
2013,abr.-13,18092.0
2013,jul.-13,17452.0
2013,ago.-13,17453.0
2013,nov.-13,15485.0
2013,mar.-13,16746.0
2013,set.-13,17317.0
2013,jun.-13,16172.0
2013,out.-13,18012.0
2013,jan.-13,21031.0
2013,fev.-13,15955.0
2014,mar.-14,12209.0
2014,dez.-14,16152.0
2014,set.-14,15961.0
2014,mai.-14,15093.0
2014,abr.-14,14191.0
2014,nov.-14,13693.0
2014,jan.-14,18067.0
2014,ago.-14,15137.0
2014,out.-14,16113.0
2014,fev.-14,13989.0
2014,jul.-14,15800.0
2014,jun.-14,13023.0
2015,mai.-15,15023.0
2015,nov.-15,11152.0
2015,jun.-15,13976.0
2015,mar.-15,14185.0
2015,out.-15,12811.0
2015,abr.-15,16909.0
2015,dez.-15,13303.0
2015,set.-15,12042.0
2015,jul.-15,13376.0
2015,jan.-15,14933.0
2015,ago.-15,13181.0
2015,fev.-15,11912.0
2016,set.-16,12828.0
2016,out.-16,11463.0
2016,jul.-16,12605.0
2016,dez.-16,14813.0
2016,abr.-16,11371.0
2016,fev.-16,10712.0
2016,mar.-16,11824.0
2016,mai.-16,11575.0
2016,jan.-16,12400.0
2016,nov.-16,11038.0
2016,jun.-16,12385.0
2016,ago.-16,12680.0
2017,dez.-17,14081.0
2017,fev.-17,9199.0
2017,mai.-17,13848.0
2017,jun.-17,12934.0
2017,set.-17,12760.0
2017,abr.-17,10346.0
2017,out.-17,13252.0
2017,ago.-17,14544.0
2017,mar.-17,12426.0
2017,jul.-17,13736.0
2017,nov.-17,13072.0
2017,jan.-17,12577.0
2018,fev.-18,10013.0
2018,abr.-18,13822.0
2018,nov.-18,14049.0
2018,mai.-18,14289.0
2018,set.-18,14925.0
2018,ago.-18,16163.0
2018,jan.-18,13431.0
2018,jun.-18,14344.0
2018,jul.-18,14513.0
2018,dez.-18,15259.0
2018,mar.-18,13470.0
2018,out.-18,16036.0
2019,jul.-19,15737.0
2019,out.-19,18604.0
2019,fev.-19,12839.0
2019,set.-19,15988.0
2019,mar.-19,13984.0
2019,mai.-19,17142.0
2019,jun.-19,15020.0
2019,jan.-19,16163.0
2019,dez.-19,16327.0
2019,abr.-19,16349.0
2019,nov.-19,16000.0
2019,ago.-19,18319.0
2020,set.-20,18649.0
2020,jun.-20,13324.0
2020,mar.-20,14717.0
2020,jan.-20,18423.0
2020,nov.-20,20302.0
2020,fev.-20,13332.0
2020,ago.-20,17135.0
2020,mai.-20,9303.0
2020,dez.-20,21616.0
2020,out.-20,20447.0
2020,abr.-20,10083.0
2020,jul.-20,15190.0
2021,jan.-21,20316.0
2021,out.-21,23071.0
2021,nov.-21,22640.0
2021,dez.-21,25359.0
2021,ago.-21,23974.0
2021,mar.-21,20798.0
2021,set.-21,23725.0
2021,jul.-21,26311.0
2021,fev.-21,18883.0
2021,jun.-21,23262.0
2021,abr.-21,19047.0
2021,mai.-21,21803.0
2022,ago.-22,23179.0
2022,mai.-22,23473.0
2022,jun.-22,22658.0
2022,fev.-22,20338.0
2022,mar.-22,20713.0
2022,out.-22,23297.0
2022,dez.-22,23271.0
2022,jan.-22,23938.0
2022,nov.-22,21867.0
2022,abr.-22,18621.0
2022,set.-22,22113.0
2022,jul.-22,23435.0
2023,jan.-23,22113.0
2023,mar.-23,23097.0
2023,fev.-23,17584.0
